Question,Answer
Virtual Server: How to Install and Configure Backups (Bacula) on a RHEL Server,"SUMMARYThe Bacula Enterprise Edition (BEE) backup service is the optional daily backup service listed in theITS VMware Hosted Solutionspage. Backups arefile levelonly.If you are a virtual server customer and have purchased the daily backup service, a BEE client  will need to be configured on your server to communicate with the backup  server. This article describes installing and configuring the BEE client on a Red Hat Enterprise Linux (RHEL) virtual server.PREREQUISITESYou should already have the daily backup service purchased through ITS Managed Services. If you have not already done so, please contact ITS Managed Services at itscs@hawaii.edu to do so.You should already have a private network connection on your virtual server. For more information, please seeVirtual Server: How to Connect Your ITS-Hosted RHEL 7 Virtual Server to an ITS Private Network.PROCEDUREDo the following to install a BEE client on your RHEL virtual server:Contact ITS Managed Services at itscs@hawaii.edu asking that the latest version of the BEE client .rpm packages be file dropped to you (via theUH Filedropservice). Once you have these files, upload them to your virtual server's /root directory.Log into your virtual server and switch user to the root user.Install the BEE client software:#cd /root#yum install -y ./bacula-enterprise-*.rpmNOTE: You may need to install the bacula-enterprise-lib-*.rpm file first before installing the bacula-enterprise-client-*.rpm file.Modify the/opt/bacula/etc/bacula-fd.conffile (installed when you install the BEE client) as outlined in the following example. In this example, ""bac10"" is used as the hostname, but for your server, it should be the short hostname of your virtual server.(a)Change this:Director {Name = bac10-dirPassword = ""< random_password_1 >""}To this (change the Name and use the randomly generated password, or create your own):Director {Name =bacula-dirPassword =""<random-password>""}(b)Change this:Director {Name = bac10-monPassword = ""a long random password""Monitor = yes}To this (comment out all lines by prefixing them with a ""#""):#Director {#Name =bacula-dir-mon#Password = ""a long random password""#Monitor = yes#}(c)Change this:FileDaemon {                          # this is meName = bac10-fdFDport = 9102                  # where we listen for the directorWorkingDirectory = /opt/bacula/workingPid Directory = /opt/bacula/workingMaximum Concurrent Jobs = 20Plugin Directory = /opt/bacula/plugins}To this (remove ""-fd"" from shortname of the host.  Change Maximum Concurrent Jobs to 20):FileDaemon {                          # this is meName =bac10FDport = 9102                  # where we listen for the directorWorkingDirectory = /opt/bacula/workingPid Directory = /opt/bacula/workingMaximum Concurrent Jobs =20Plugin Directory = /opt/bacula/plugins}(d)Change this:Messages {Name = Standarddirector = bac10-dir = all, !skipped, !restored, !saved}To this (change director name):Messages {Name = Standarddirector =bacula-dir= all, !skipped, !restored, !saved}Enable automatic start of the BEE client upon server boot:RHEL 7 and 8: #systemctl enable bacula-fdRestart bacula-fd service:RHEL 7 and 8: #systemctl start bacula-fdRun the following command to allow port 9102 incoming for the backup traffic:firewall-cmd --permanent --zone=public --add-port=9102/tcp && firewall-cmd --reload.(Optional) If TCP Wrappers is configured in the OS, add a rule to allow incoming connections from the Bacula Director Serverdr-dir12.pvt.hawaii.edu. E.g., modify the/etc/hosts.allowfile to add the line ""ALL: 172.24.100.11 dr-dir12.pvt.hawaii.edu"").(Optional) Delete the bacula-enterprise-* .rpm files from /root.Notify IT TI-Applications that you have completed installing the BEE client on your virtual server. Please let us know the name of your virtual server, which directories you want backed up, and an estimate of you much storage space you expect the backup to require.Do not include the Bacula password in this email. If it is emailed in clear text, you will be required to change the password.A staff member from Contract Services will respond to you and ask you to send the password you made note of in step 4b above via theUH Filedropservice.RELATED ARTICLESData Center ServicesVirtual Hosting: How to Submit a Restore RequestVirtual Server: File Level Backup PolicyVirtual Server: How to install and configure backups (Bacula) on a Windows ServerVirtual Server: How to Connect Your ITS-Hosted RHEL 6 Virtual Server to an ITS Private NetworkVirtual Server: How to Connect Your ITS-Hosted RHEL 7 Virtual Server to an ITS Private Network"
Approval letter template for requesting the use of a non-hawaii.edu domain name on the UH network,"<insert campus/division logo here><date>TO:        <name><Chancellor | Vice President>FROM:      <name><Title: Director | Dean | Chair>SUBJECT:   Request for approval of a non-hawaii.edu domain name on the UH network___________________________________________________________________________________________Following UH Policy(http://www.hawaii.edu/askus/654), I would like to request your approval to host the domain <insert domain name> on the UH network.<insert justification>I look forward to your approval of this memo so that we can proceed with the request through Information Technology Services.  Do not hesitate to let me know if you have questions.APPROVED / DISAPPROVED:______________________________     _________________<chancellor or VP Name>            <date><title>"
FileZilla for Windows,"OverviewFileZilla Client is a fast and reliable cross-platform FTP, FTPS and SFTP client with lots of useful features and an intuitive graphical user interface. For more information, refer tohttp://www.hawaii.edu/askus/1740Quick LinksInstallationSetup with QuickconnectSetup with Site ManagerInstallationDownload the installer athttps://www.hawaii.edu/itsdocs/sftpclients/FileZilla_3.41.2_win64-setup.exeDouble click or run the installer file FileZilla_3.41.2_win64-setup.exe. (If prompted to allow the app to make changes to your device, click on Yes.)On the License Agreement, review and click on 'I Agree' to continue.Select your preference of 'Anyone who uses this computer' or 'Only for me' then click on 'Next'.On the Choose Components screen, leave the defaults (select 'Desktop Icon' if desired) and click 'Next'.Choose the destination folder for installation and click on 'Next'.Choose the location of the Start Menu folder and click on 'Install'.Click on 'Finish' to complete the installation.Setup with QuickconnectRun FilezillaIn the top toolbar, type in the following information:Host =uhunix.hawaii.eduUsername = your UH usernamePassword = your UH passwordPort =22Click QuickconnectChoose if you would like your password saved and click on 'OK' to continue.Click OK for the Unknown host key prompt to continue.Once you are connected, you should see a window similar to below.The left pane of the window represents the local directory structure for your Windows PC.  The right pane represents the directory structure of the remote host. In this case, the remote host is uhunix.hawaii.edu. To download a file, select the file in the right pane and drag them to the left pane. To upload a file, select the file from the left pane and drag them to the right pane. You may copy files to folders by dragging the files onto the folder. To select files not adjacent to each other, hold down the Command key and click on the name of the files.Setup with Site ManagerThe Site Manager allows FileZilla client users to store information about their sFTP sites. You can access the Site Manager under the File menu, by clicking on the Site Manager icon on the toolbar, or you can press Ctrl+S.Click the New Site button.Name your site to differentiate if adding more than one host and enter the following information:Host =uhunix.hawaii.eduPort =22Protocol = SFTP - SSH File Transfer ProtocolLogon Type = Normal (if you want to save your password), or Ask for password (if you want to be prompted to enter your password)Username = your UH usernamePassword = your UH passwordIf you would like FileZilla to remember your password until the application is closed, select the option. Enter your password and click ok.Click OK for the Unknown host key prompt to continue.Once you are connected, you should see a window similar to below."
Microsoft Office 2016 Information,"General InformationMicrosoft Office helps you complete common business tasks, including word processing, email, presentations, data management and analysis, and more.Minimum System Requirements for WindowsA PC running Windows 10 or later.A 1GHz or faster processor.2 GB of RAM.3 GB of free hard disk space.1024 x 768 or higher resolution monitor.Graphics hardware acceleration requires a DirectX 10 graphics card.Minimum System Requirements for MacOSA Mac computer with an Intel processor.4 GB of RAM6 GB of free hard disk space in HFS+ hard disk format. (also known as Mac OS Extended or HFS Plus)1280 x 800 or higher resolution monitor.OSX 10.10 or later.ITS Supported VersionsOffice Standard 2016 (for Windows)Word 2016Excel 2016PowerPoint 2016OneNote 2016Outlook 2016Publisher 2016*Office Professional Plus 2016 (for Windows)Word 2016Excel 2016PowerPoint 2016OneNote 2016Access 2016*Outlook 2016Publisher 2016*Skype for BusinessOffice 2016 Standard (for Mac)Word 2016Excel 2016PowerPoint 2016Outlook 2016Departments may purchase this software through theITS Site License Officeusing the downgrade option. UH faculty, staff, and students may purchase themost currentversion of Microsoft Office for personal use through theUniversity of Hawaii Bookstore. Additionally, this version of MS Office may be available from other computer software retailers.Service Patches/UpdatesMicrosoft Office updates are available through the Windows Update procedure.In Windows 10, press Windows key + Q key to get the search menu.  Typewindows updatein the search box.  ClickWindows Update settings.For MacOS, Microsoft Office updates are available through theHelpcontext menu when in a current Office 2016 Standard application.On the top menu, go toHelp>Check for Updates.Under""How would you like updates to be installed?"", selectAutomatically Download and Install.ClickCheck for Updates.For more in-depth instructions on updating your Office for Mac 2016 Standard installation, you can refer to the instructionshere.Company Web Sitehttp://www.microsoft.comhttps://products.office.com/en-us/mac/microsoft-office-for-mac* Limited Support"
Setting up UHM Wireless on Windows 10,"These instructions are for setting up access to the UHM broadcasted wireless SSID at the UH-Manoa campus when using Windows 10.PressWindows key + Q keyto open the Search menu.EnterWifiin the Search box. SelectChange Wi-Fi settings.Selectshow available networksYou will then see all available networks. SelectUHMfrom the list of available networks.CheckConnect automatically, if desired, and then click theConnectbutton. Windows will show its progress as it attempts to connect to the wireless network.To check that you've connected successfully, click on the wireless icon in the bottom right and UHM should reportConnected, openOnce connected, launch a web browser, like Edge, Chrome, or Mozilla Firefox, to login to the wireless network. Once logged in you are ready to browse the Web.Learn more about theUH wireless network, including setting up a wireless authenticationpassthrough."
FileZilla Information,"General InformationFileZilla is a free, open source sFTP client that provides allows users to transfer files over the network securely via a graphical interface.Minimum System RequirementsPC running Windows 10 or laterMacintosh running Mac OS X 10.14* or laterITS Supported VersionFileZilla 3.65+DocumentationFileZilla for WindowsFileZilla for MacCompany Websitehttps://filezilla-project.org/index.php"
FileZilla for Macintosh,"OverviewFileZilla is a free, open source sFTP client that provides allows users to transfer files over the network securely via a graphical interface. For more information refer tohttps://www.hawaii.edu/askus/1740Quick LinksInstallationSetup with QuickconnectSetup with Site ManagerInstallationDownloadthe FileZilla installer.Double click the installer.When prompted, click Open.You should now see the FileZilla icon. Click and drag the icon to your Applications folder.Setup with QuickconnectOpen the applicationIn the top toolbar, type in the following information:Host =uhunix.hawaii.eduUsername = your UH usernamePassword = your UH passwordPort =22Click QuickconnectChoose if you would like your password savedClick OK for the Unknown host key prompt to continue.Once you are connected, you should see a window similar to below.The left pane of the window represents the directory structure for your Macintosh. The right pane represents the directory structure of the remote computer. In this case, the remote computer is uhunix.hawaii.edu. To download a file, select the file in the right pane and drag them to the left pane. To upload a file, select the file from the left pane and drag them to the right pane. You may copy files to folders by dragging the files onto the folder. To select files not adjacent to each other, hold down the Command key and click on the name of the files.Setup with Site ManagerThe Site Manager allows FileZilla client users to store information  about their sFTP sites. You can access the Site Manager under the File  menu, or you can press Ctrl+S or Command+S.Click the New Site button.Name your site to differentiate if adding more than one host.Host =uhunix.hawaii.eduUsername = your UH usernamePassword = your UH passwordPort =22If you would like FileZilla to remember your password until the  application is closed, select the option. Enter your password and click ok."
Getting Started with the Personal Information Survey,"This article will provide a walkthrough for adding and editing/viewing existing Personal Information Surveys. For a more in-depth completion guide, please clickhere.Adding a new SurveyTo add a new Survey, please follow these steps:Visithttps://www.hawaii.edu/its/information/survey/Click on ""My Surveys"" in the navigation bar.You will be directed to the UH login page. Please log in with your UH username and password.To add a new survey, you'll start with completing the Contact Information section. Please note that the System Custodian is the one responsible for the contents and maintenance of the Personal Information system. This person will have access to read and modify the survey. The System Custodian can be different from the person filling out the survey. In such cases, both the Custodian and the person who filled out the survey will have access to the survey.Next, you will need to complete the Qualification Questions section. Note: If you answer no to both question 1 & 2, you can stop here. The Personal Information Survey only needs to be completed by those who collect information in identifiable form on UH employees or students/general public.Finally, please go through each of the questions in the System Assessment and Use of Third-Party Website or Application sections. Questions marked with a red * icon are required to be answered.Once you get to the end of the survey, click the ""Submit Survey"" icon to complete the 2022 Personal Information Survey. If there are any required questions you haven't answered an error message will appear. These questions will be highlighted for completion.Edit or View and Existing SurveyTo edit or view an existing survey, follow these steps:Return to the ""My Surveys"" page athttps://www.hawaii.edu/its/information/survey/.Here you will find your existing surveys listed. To edit your answers for a survey, click on the name of the Survey, located under the ""Survey Name"" column. If you'd like to remove a survey, click on the ""remove"" button. Once you complete the survey, please click the ""Update Survey"" option.To get printer-friendly reports of your submitted surveys, click on ""Reports"" in the navigation bar.Click on the ""Printer Friendly Survey Printouts"" link to get the report."
Getting Started with Device Registration,"This article will provide a walkthrough for filling out the Device Registration. If you have any questions, please contactinfosec@hawaii.edu.In this article:Creating a new Device RegistrationEditing an Existing RegistrationCreating a New Device RegistrationVisithttps://www.hawaii.edu/its/device/registration/Click on ""Registration Console"" in the navigation bar.You will be directed to the UH Login page. Log in using your UH username and password.To register a device, click on the ""Add device to list"" buttonSelect the device you would like to add, then hit ""Add"".Fill out the required information, then hit ""Register"".Server registration interfaceEndpoint registration interfaceYou will be directed to another page where you will add additional information. To update or add an answer, click on the pencil icon.Fill in all fields that are marked with a red flag. Your survey will not be considered completed if there are any red flags.Complete the Agreement terms at the bottom of the page for your device type, then click ""I Agree""If you indicate that your server maintains PII (SSNs, Driver's Licenses, State ID Numbers, or Financial Account Information), you must also complete the Information Survey, located athttps://www.hawaii.edu/its/information/survey/You must also Scan your server for PII and Vulnerabilities.Visithttps://www.hawaii.edu/askus/1297to get started with PII scanning with Spirion.Visithttps://scanuh.hawaii.edu/to get started with Vulnerability scanning with ScanUH.After obtaining the ScanUH scan report, remediate any critical vulnerabilities found before updating the Remediation Information and Vulnerabilities Agreement Terms. Only when you have entered a valid date for the Vulnerability and PII scans will you be able to check the agreement boxes.Editing an Existing RegistrationTo edit an existing report, follow the steps below:Return to the ""Registration Console"" by clicking on the link in the left, vertical navigation bar.Select which device type you would like to view by clicking the ""View type"" dropdown menuIn the table called ""My Registered/Managed Devices"", click on the ID of the report you want to edit.If you scanned multiple registered servers and would like to update the scan dates all at once, start by checking off all the servers that you want updated.Input the dates of the scans in the ""Bulk Updates for Last Scanned Dates"" section, then press the ""Update selected registries"" button."
Getting started with Nano,"Nano,a clone of Pico, emulates the functionality of Pico. Pico is a simple full screen ASCII editor for UNIX systems developed at the University of Washington.Although we will cover only the basics of the Nano editor, you are invited to use the online help to explore the other features of Nano on your own.NotationThe circumflex (^) denotes a CONTROL key press. Examples are shown inCouriertypeface; user input is shown inboldface.Starting NanoTo start Pico with a blank page, at the unix % prompt type:nanoTo start Pico with an existing file, at the unix % prompt type:nano <filename>You will either be presented with a blank page or the first page of text from your existing document as shown in Figure 1.\f0\fs20 \cf2 \expnd0\expndtw0\kerning0\outl0\strokewidth0 \strokec2 data list /1 id 1-3 sex 6 birthwt 7-12 (2)\list cases from 1 to 2\begin data\123   0245311\124   0167932\125   1342597\126   0189421\end data\select if id=123\write outfile=new /1 id 1-3 sex 6 birthwt 7-12 (2)\execute[ Read 24 lines ]^G Get Help  ^O WriteOut  ^R Read File  ^Y Prev Page  ^K Cut Text    ^C Cur Pos^X Exit      ^J Justify   ^W Where Is   ^V Next Page  ^U UnCut Text  ^T To SpellFigure 1.Notice that the bottom of the screen shows the options available to you such as Get Help, Exit, and so forth. Also, note that the cursor (arrow) keys can be used to move around on the page and the backspace key will (if properly set up) erase characters. ^G will provide more information on the menu options.Moving the CursorAssume we have either entered some text or started Nano with an existing document. If the termcap entry for your terminal supports the cursor keypad, you can move the cursor around a character or line at a time using the arrow keys. If you do not have arrow keys or UNIX does not support them on your terminal, you can use the following Control-Key sequences to move the cursor:^PPrevious^BBackward^FForward^NNext LineIf you want to move greater distances, you can use the following Control-Key sequences:^AMove to the beginning of the current line.^EMove to the end of the current line.^VMove forward a page of text.^YMove backward a page of text.Deleting TextTo delete individual characters or lines of text, use the following:<BACKSPACE>Delete the character left of the cursor position.^DDelete the character at the cursor position.^KDelete (kill) the entire line at the cursor position.To undelete lines in which the ^K command was used:^UUndelete last deleted line[s] at the cursor position.Input and OutputThe following are helpful commands for reading in a file and outputting a file:^RInsert an external file at the current cursor position.^OOutput the current buffer to a file and save it.Other Useful CommandsThese commands, although not totally necessary, may come in handy:^WSearch for (where is) specific text., ignoring case.^LRefresh the display.^JJustify the text in the current paragraph.^TInvoke the spelling checker.^CReport the cursor position.^GGet online help.Quitting NanoWhen you are done editing and ready to leave Nano, do the following:^XExit Nano with the option to save the current file."
Virtual Server: How to Connect Your ITS-Hosted RHEL 7 Virtual Server to an ITS Private Network,"OVERVIEWSometimes in order to access certain services offered by UH Information Technology Services (ITS) from your ITS-hosted virtual server, you will need to have access to an ITS private network. The instructions in this article give you instructions on how to make sure your virtual server is connected to an ITS private network.These instructions only apply to Red Hat Enterprise Linux (RHEL) 7 virtual servers created by ITS Managed Services for your use, and only to RHEL systems that have the Network Manager service removed or turned off (e.g., “systemctl networkmanager stop” and “systemctl networkmanager disable”; also see https://access.redhat.com/documentation/en-US/Red_Hat_Enterprise_Linux/7-Beta/html/Networking_Guide/sec-NetworkManager_and_the_Network_Scripts.html).These instructions are for RHEL 7 environments where the network configuration files are manually maintained, which is the standard configuration for RHEL 6 virtual servers created by ITS Managed Services. You can still use Network Manager if you like, but ITS does not provide instructions for adding a private network connection when Network Manager is enabled so you will have to determine the appropriate procedure yourself.PROCEDURENOTE: All the commands given in the steps below are assumed to be issued as either user root or via ""sudo"".Enter the command:ifconfigto see all installed and connected NICs on your virtual server, and make note of the interface/NIC names of the NICs that are installed (e.g., “eno16780032”, “ens224” ,etc.). You may want to send the output of the “ifconfig” command to a text file for later reference—e.g., “ifconfig > ifconfig_results_2017-07-06.txt”.For example:#ifconfigeno16780032: flags=4163<UP,BROADCAST,RUNNING,MULTICAST>  mtu 1500inet 166.122.3.161  netmask 255.255.255.0  broadcast 166.122.3.255inet6 fe80::250:56ff:feb0:2ddd  prefixlen 64  scopeid 0x20<link>ether 00:50:56:b0:2d:dd  txqueuelen 1000  (Ethernet)RX packets 1185  bytes 102807 (100.3 KiB)RX errors 0  dropped 0  overruns 0  frame 0TX packets 198  bytes 23317 (22.7 KiB)TX errors 0  dropped 0 overruns 0  carrier 0  collisions 0ens224: flags=4163<UP,BROADCAST,RUNNING,MULTICAST>  mtu 1500inet 172.17.36.14  netmask 255.255.255.0  broadcast 172.17.36.255inet6 fe80::250:56ff:feb0:5673  prefixlen 64  scopeid 0x20<link>ether 00:50:56:b0:56:73  txqueuelen 1000  (Ethernet)RX packets 689  bytes 146959 (143.5 KiB)RX errors 0  dropped 0  overruns 0  frame 0TX packets 688  bytes 89245 (87.1 KiB)TX errors 0  dropped 0 overruns 0  carrier 0  collisions 0lo: flags=73<UP,LOOPBACK,RUNNING>  mtu 65536inet 127.0.0.1  netmask 255.0.0.0inet6 ::1  prefixlen 128  scopeid 0x10<host>loop  txqueuelen 1  (Local Loopback)RX packets 0  bytes 0 (0.0 B)RX errors 0  dropped 0  overruns 0  frame 0TX packets 0  bytes 0 (0.0 B)TX errors 0  dropped 0 overruns 0  carrier 0  collisions 0In the output of the ""ifconfig"" command, look at the “inet” setting for each NIC (if there is one) and see if any have a valueother than128.171.*.* (e.g., 128.171.38.164) or 166.122.3.* (e.g., 166.122.3.3) or 127.0.0.1 (the standard internal loopback interface). Any value other than those subnets indicate the NIC does have a private network IP associated with it. If no ""inet addr"" setting is listed for a NIC, it means that the NIC is connected but has not been configured with an IPv4 IP address yet, and ITS CS will need to verify if the NIC is connected to a private network or not (step 4 below).If a NIC on your virtual server does have a private network IP associated with it, please skip to step 17 below (verify DNS resolves .pvt and .mgt). Otherwise, continue with the next step below.Contact ITS Managed Services (itscs@hawaii.edu) and ask that your virtual server be assigned to and connected to an ITS private network. As part of your request, please provide the following info:* The reason you want to add an ITS private network connection to your virtual server* Your virtual server’s fully qualified domain name (FQDN) (e.g., leeddash.its.hawaii.edu)* Your virtual server’s public network IP address (128.171.x.x or 166.122.3.x)ITS Managed Services will verify that your virtual server does not have a connection to an ITS private network, and if so they will assign your virtual server an IP within an ITS private network, attach a new NIC on your virtual server that connects to that network, and provide you with the private network IP, gateway, and subnet mask information.Once you have the private network IP, gateway, and subnet mask information from ITS CS, do an “ifconfig” command and make note of the newly added NIC’s name (e.g., “ens224”), as well as the NIC name of the existing primary NIC for the public network (e.g., “eno16780032”).Back up the existing/etc/sysconfig/networkfile (e.g., “cp /etc/sysconfig/network /etc/sysconfig/network.2017-07-06”) and then edit the/etc/sysconfig/networkfile and ensure it contains only the following lines (substitute the bracketed items with appropriate values):NETWORKING=yesHOSTNAME=<Host-FQDN>GATEWAY=<Gateway-IP-For-Primary-NIC-Public-Network>GATEWAYDEV=<Primary-NIC-Name>For example:NETWORKING=yesHOSTNAME=cstemplate06.its.hawaii.eduGATEWAY=166.122.3.1GATEWAYDEV=eno16780032Create a/etc/sysconfig/network-scripts/ifcfg-<NIC-name>file (where<NIC-name>is the name of the new NIC as determined in step 6; e.g.,/etc/sysconfig/network-scripts/ifcfg-ens224). You can do so with “vi” or ""nano"" any basic text editor of your choice (or perhaps just copying the primary non-private NIC’s config file and just editing it—e.g., “cp /etc/sysconfig/network-scripts/ifcfg-eno16780032 /etc/sysconfig/network-scripts/ifcfg-ens224”).Edit the newifcfg-<NIC-name>file created in the previous step so that it contains the following minimal entries:DEVICE=“<NIC-name>”BOOTPROTO=staticONBOOT=yesUSERCTL=noIPADDR=<Assigned-Private-Network-IP>NETMASK=<Assigned-Private-Network-Subnet-Mask>PEERDNS=noFor example:DEVICE=""ens224""BOOTPROTO=staticONBOOT=yesUSERCTL=noIPADDR=172.17.36.14NETMASK=255.255.255.0PEERDNS=noCreate and edit a new/etc/sysconfig/network-scripts/route-<NIC-name>file (where<NIC-name>is the name of the new NIC; e.g.,/etc/sysconfig/network-scripts/route-ens224) that contains the following lines:192.168.0.0/16 via<Assigned-Private-Network-Gateway-IP>dev<NIC-name>172.16.0.0/12 via<Assigned-Private-Network-Gateway-IP>dev<NIC-name>10.0.0.0/8 via<Assigned-Private-Network-Gateway-IP>dev<NIC-name>For example:192.168.0.0/16 via 172.17.65.1 dev eth1172.16.0.0/12 via 172.17.65.1 dev eth110.0.0.0/8 via 172.17.65.1 dev eth1Schedule a reboot the virtual server to incorporate all the changes you’ve made so far (just restarting the network service doesn't seem to be enough). E.g., when ready, as user root, enter the following command to reboot:rebootLog back into the server and switch user to the ""root"" user (if you cannot access the server after rebooting, you may need to log in via the virtual console to troubleshoot if you have access [seeVirtual Server: How to Access Your Virtual Server via VMware Console Access] or contact ITS CS at itscs@hawaii.edu to help you); one there, print out the current network routing table using the command:ip route showExamine the results of the “ip route show” command and ensure that among the entries shown are ones similar to those given in step 10 above and also a “default” entry that specifies the primary (public) NIC’s gateway and NIC name. E.g.:#ip route show166.122.3.0/24 dev eth0  proto kernel  scope link  src 166.122.3.160172.17.65.0/24 dev eth1  proto kernel  scope link  src 172.17.65.11169.254.0.0/16 dev eth0  scope link  metric 1002169.254.0.0/16 dev eth1  scope link  metric 1003192.168.0.0/16 via 172.17.65.1 dev eth1172.16.0.0/12 via 172.17.65.1 dev eth110.0.0.0/8 via 172.17.65.1 dev eth1default via 166.122.3.1 dev eth0Verify that you can ping google.com okay:#ping google.comPING google.com (216.58.193.78) 56(84) bytes of data.64 bytes from sea15s07-in-f78.1e100.net (216.58.193.78): icmp_seq=1 ttl=55 time=66.7 ms64 bytes from sea15s07-in-f78.1e100.net (216.58.193.78): icmp_seq=2 ttl=55 time=65.5 ms64 bytes from sea15s07-in-f78.1e100.net (216.58.193.78): icmp_seq=3 ttl=55 time=65.6 ms64 bytes from sea15s07-in-f78.1e100.net (216.58.193.78): icmp_seq=4 ttl=55 time=65.7 ms64 bytes from sea15s07-in-f78.1e100.net (216.58.193.78): icmp_seq=5 ttl=55 time=65.7 ms64 bytes from sea15s07-in-f78.1e100.net (216.58.193.78): icmp_seq=6 ttl=55 time=65.7 ms^C--- google.com ping statistics ---6 packets transmitted, 6 received, 0% packet loss, time 5645msrtt min/avg/max/mdev = 65.535/65.862/66.790/0.470 msBack up the existing/etc/resolv.conffile (e.g., “cp /etc/resolv.conf /etc/resolv.conf.2017-07-06”) and then edit the/etc/resolv.conffile and ensure it consists of only the following three lines:search hawaii.edu its.hawaii.edu pvt.hawaii.edu mgt.hawaii.edu colo.hawaii.edunameserver 192.168.10.115nameserver 192.168.10.116Once again, verify that you can ping google.com okay (this verifies that you can reach the private DNS servers specified in the previous step; if the ping doesn't work, then back out by restoring the original contents of your /etc/resolv.conf file so that you have DNS resolution again, and then troubleshoot):#ping google.comPING google.com (216.58.193.78) 56(84) bytes of data.64 bytes from sea15s07-in-f78.1e100.net (216.58.193.78): icmp_seq=1 ttl=55 time=66.7 ms64 bytes from sea15s07-in-f78.1e100.net (216.58.193.78): icmp_seq=2 ttl=55 time=65.5 ms64 bytes from sea15s07-in-f78.1e100.net (216.58.193.78): icmp_seq=3 ttl=55 time=65.6 ms64 bytes from sea15s07-in-f78.1e100.net (216.58.193.78): icmp_seq=4 ttl=55 time=65.7 ms64 bytes from sea15s07-in-f78.1e100.net (216.58.193.78): icmp_seq=5 ttl=55 time=65.7 ms64 bytes from sea15s07-in-f78.1e100.net (216.58.193.78): icmp_seq=6 ttl=55 time=65.7 ms^C--- google.com ping statistics ---6 packets transmitted, 6 received, 0% packet loss, time 5645msrtt min/avg/max/mdev = 65.535/65.862/66.790/0.470 msVerify that you can resolve a .pvt hostname via DNS okay. E.g., using the “nslookup” command:#nslookup dns11.pvt.hawaii.eduServer:         192.168.10.115Address:        192.168.10.115#53Name:   dns11.pvt.hawaii.eduAddress: 192.168.10.116Schedule a reboot of your virtual server and, after it comes back up, do the previous two tests again (see if you can ping google.com okay, and see if you can resolve a .pvt hostname via DNS okay). This step verifies that your network configuration changes and private network connectivity will survive intact upon system reboot.This completes the steps necessary to add private network connectivity to your ITS-hosted RHEL 7 virtual server.RELATED ARTICLES:Virtual Server: How to Re-register Your ITS-Hosted RHEL 7 Virtual Server with RHSMVirtual Server: How to Install and Configure Backups (Bacula) on a RHEL Server"
